City_ID,City,Country,Lat,Lng,Max Temp,Current_Description,Hotel Name
124,Khuzhir,RU,53.1939,107.3397,43.79,overcast clouds,Отель на озере Байкал Baikal View
125,Leshukonskoye,RU,64.8989,45.7622,42.57,overcast clouds,Pryalitsa Hostel
126,Dingle,PH,10.9995,122.6711,76.89,light rain,SEGAYA PROPERTY
130,Luganville,VU,-15.5333,167.1667,75.13,broken clouds,The Espiritu Hotel
131,Mayumba,GA,-3.432,10.6554,76.3,few clouds,LIKWALE LODGE
132,Bethel,US,41.3712,-73.414,78.82,scattered clouds,Courtyard by Marriott Danbury
133,Ust-Nera,RU,64.5667,143.2,45.64,clear sky,Hotel Ust-Nera
135,Pandamatenga,BW,-18.5278,25.627,57.65,clear sky,Wildtrack Safaris Eco Lodge
136,Miri,MY,4.4148,114.0089,78.94,few clouds,"Mega Hotel, Miri"
137,Narsaq,GL,60.9167,-46.05,50.22,overcast clouds,Narsaq Kayak Hostel
138,Finschhafen,PG,-6.6024,147.8681,77.22,scattered clouds,Cossam Guest House
141,Kikwit,CD,-5.041,18.8162,75.43,scattered clouds,HOTEL PLACE YALABA
145,Castro,BR,-24.7911,-50.0119,67.55,few clouds,CHACARA BAILLY
146,Karasjok,NO,69.4719,25.5112,69.91,broken clouds,Karasjok camping AS
147,Norman Wells,CA,65.282,-126.8329,48.24,broken clouds,Heritage Hotel
151,Katherine,AU,-14.4667,132.2667,71.92,overcast clouds,Pine Tree Motel
152,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,clear sky,Pousada Porto Praia
154,Cidreira,BR,-30.1811,-50.2056,67.96,overcast clouds,Hotel Castelo
158,Sao Filipe,CV,14.8961,-24.4956,74.5,few clouds,Hotel Xaguate
159,Luderitz,,-26.6481,15.1594,67.71,clear sky,LÜDERITZ NEST HOTEL
160,Mar Del Plata,AR,-38.0023,-57.5575,55.09,clear sky,Gran Hotel Mar del Plata
161,Coquimbo,CL,-29.9533,-71.3436,56.93,fog,Punto de encuentro
162,Bogorodskoye,RU,56.55,37.8833,49.46,few clouds,Sosnoviy Bor
163,Ilulissat,GL,69.2167,-51.1,42.82,clear sky,Hotel Arctic
164,Ginir,ET,7.1333,40.7,56.62,clear sky,Sura Dare Village
165,Chokurdakh,RU,70.6333,147.9167,63.73,few clouds,
166,Alofi,NU,-19.0595,-169.9187,73.29,light rain,Taloa Heights
168,Lata,PT,40.1629,-8.3327,64.04,overcast clouds,Casa Maquia
169,Hervey Bay,AU,-25.2986,152.8535,67.03,scattered clouds,Shelly Bay Resort
170,Nizhniy Bestyakh,RU,61.9594,129.9086,51.28,clear sky,Torgovo Gostinichnyy Kompleks Alaas
171,Imbituba,BR,-28.24,-48.6703,75.09,moderate rain,Praia Hotel Imbituba
173,Xai-Xai,MZ,-25.0519,33.6442,64.22,moderate rain,Complexo da Familia
175,Port Lincoln,AU,-34.7333,135.8667,59.54,broken clouds,Port Lincoln Hotel
177,Caravelas,BR,-17.7125,-39.2481,77.76,overcast clouds,Pousada dos Navegantes
178,Asfi,MA,32.2994,-9.2372,66.29,clear sky,Hôtel Abda
180,Moyale,KE,3.5167,39.0584,71.92,overcast clouds,La Tahzan Guest House
181,Saint-Augustin,CA,51.226000000000006,-58.6502,59.63,broken clouds,
182,Marzuq,YE,14.4,46.4667,79.66,overcast clouds,
184,Cherskiy,RU,68.75,161.3,53.08,scattered clouds,Gostinitsa
185,Vigeland,NO,58.0844,7.305,60.94,scattered clouds,Audnastrand Leirsted (Imf- sør/Indremisjonsforbundet sør kretskontor)
186,Tommot,RU,58.9564,126.2925,46.13,overcast clouds,Gostinitsa Tommot
187,Nizhniy Kuranakh,RU,58.8353,125.4869,46.15,overcast clouds,Park Pobedy
188,Tarnos,FR,43.5417,-1.4628,77.14,clear sky,"The Originals City, Hôtel Le Lodge, Bayonne Nord (Inter-Hotel)"
189,Bengkulu,ID,-3.8004,102.2655,77.11,overcast clouds,Grage Hotel Bengkulu
191,Marang,MY,5.2056,103.2059,78.71,broken clouds,DBarakah Homestay
193,Byron Bay,AU,-28.65,153.6167,60.87,overcast clouds,Backpackers Inn on the Beach
194,Sorland,NO,67.667,12.6934,66.27,few clouds,Sjybrygga fiskecamp
195,Port Macquarie,AU,-31.4333,152.9167,51.39,overcast clouds,Rydges Port Macquarie
196,Te Anau,NZ,-45.4167,167.7167,42.82,scattered clouds,Kingsgate Hotel Te Anau
197,Manokwari,ID,-0.8667,134.0833,78.55,overcast clouds,Swiss Belhotel Manokwari
198,Kikinda,RS,45.8297,20.4653,52.27,scattered clouds,Bed & Breakfast Twenty
199,Severo-Kurilsk,RU,50.6789,156.125,40.51,scattered clouds,Kak Doma
200,Lakes Entrance,AU,-37.8811,147.981,52.18,light rain,The Esplanade Resort & Spa
201,Beira,MZ,-19.8436,34.8389,66.29,heavy intensity rain,Beira Terrace Hotel
202,Saldanha,ZA,-33.0117,17.9442,60.85,broken clouds,Blue Bay Lodge
205,Alexandria,EG,31.2156,29.9553,71.37,clear sky,Royal Crown Hotel
206,Koslan,RU,63.4564,48.8989,46.4,overcast clouds,
207,Matara,LK,5.9485,80.5353,79.57,overcast clouds,Amaloh Boutique Resort
208,Bolshaya Martynovka,RU,47.271,41.6679,59.25,scattered clouds,Gostinitsa
209,Ponta Delgada,PT,37.7333,-25.6667,63.32,few clouds,Vila Nova Hotel
213,Orativ,UA,49.1889,29.526999999999997,51.62,overcast clouds,
216,Xichang,CN,27.8964,102.2634,67.41,broken clouds,Xichang ibis Hotel
217,Lebu,CL,-37.6167,-73.65,56.23,overcast clouds,Hostal Las Lilas
218,Lucapa,AO,-8.4192,20.7447,71.13,overcast clouds,Residência Ulisses Dos Santos
219,Sovetskaya Gavan,RU,48.9723,140.2878,47.03,overcast clouds,"Хостел ""Пилигрим"""
222,Port Hawkesbury,CA,45.6169,-61.3485,74.88,clear sky,MacKenzie House Tourist Home B&B
223,Alyangula,AU,-13.8483,136.4192,64.27,scattered clouds,Groote Eylandt Lodge
225,Grindavik,IS,63.8424,-22.4338,48.56,broken clouds,Northern Light Inn & Max's Restaurant
227,Sai Buri,TH,6.7013,101.6168,78.93,broken clouds,ร้าน​ เวดดิ้ง
228,Namatanai,PG,-3.6667,152.4333,78.19,broken clouds,Seagulls Inn Namatani
229,Loa Janan,ID,-0.583,117.095,72.57,few clouds,Pondok hijau 2A
230,Constantine,DZ,36.365,6.6147,74.61,few clouds,Grand Hotel Cirta
